"url","Title","Time","Location","Category","New column"
"http://www.accupass.com/go/accupassintern2016","2016年ACCUPASS實習生海選招募！","2016-05-10(Tue) 00:00 ~ 2016-06-08(Wed) 23:59 (GMT+8)","台北市復興南路一段205號6樓","Education",""
"http://www.accupass.com/go/singingtime","歌樂時代 Singing Time(無法在Accupass報名，請洽官網)","2016-05-06(Fri) 19:00 ~ 2016-05-06(Fri) 21:00 (GMT+8)","台北市內湖區堤頂大道二段99號","Arts",""
"http://www.accupass.com/event/register/1604220803121898677716","一畝田市集","2016-05-01(Sun) 10:00 ~ 2016-05-01(Sun) 16:00 (GMT+8)","台北市中正區北平東路30號1樓 (天和鮮物‧華山旗艦店)","Education",""
"http://www.accupass.com/event/register/1604101233381270039033","【初心者】海線日和 ‧ 天氣晴","2016-05-08(Sun) 14:00 ~ 2016-05-15(Sun) 21:00 (GMT+8)","台北市中正區市民大道3段2號4樓","Photography",""
"http://www.accupass.com/event/register/1604251023532100919426","2016台中廣播‧職棒甜心主播選拔","2016-05-01(Sun) 08:00 ~ 2016-06-20(Mon) 23:00 (GMT+8)","台北市中正區市民大道三段2號","Entertainment",""
"http://www.accupass.com/event/register/1604120836102840596070","{科學魔法}巫師不能說的秘密-The Secret of Wizard","2016-05-01(Sun) 14:00 ~ 2016-05-01(Sun) 16:00 (GMT+8)","台北市中正區市民大道三段2號7樓 宇宙教室","Entertainment",""
"http://www.accupass.com/event/register/1601060956201966937092","「5/2【A舍 (A-sia studio) 講座】@ 墨工廠 「NG電視：漫談日韓流行文化」","2016-05-02(Mon) 19:30 ~ 2016-05-02(Mon) 21:30 (GMT+8)","台北市 徐州路18巷15號","Education",""
"http://www.accupass.com/go/winegourmet_movie","世界頂級酒莊巡禮-2016台北葡萄酒展X戀戀醉美電影套票","2016-05-07(Sat) 11:00 ~ 2016-05-08(Sun) 19:00 (GMT+8)","台北市松壽路6號","Entertainment",""
"http://www.accupass.com/event/register/1603040821481799760236","2016台北葡萄酒展Wine & Gourmet Taipei","2016-05-06(Fri) 11:00 ~ 2016-05-08(Sun) 19:00 (GMT+8)","台北市松壽路6號","Other",""
"http://www.accupass.com/event/register/1604260832132140304553","Maker的臭皮匠創意學 顏妤安 vs 沈芳如 vs 鄭鴻旗","2016-05-04(Wed) 19:30 ~ 2016-05-04(Wed) 21:30 (GMT+8)","台灣台北市中正區八德路一段1號","Education",""
