"url","Title","Time","Location","Category"
"http://www.accupass.com/event/register/1602121728061626495034","Leslie talks to animals 2016 三月＆四月溝通場次報名","2016-02-25(Thu) 23:00 ~ 2016-04-30(Sat) 23:00 (GMT+8)","台北市松山區延壽街361號","Other"
"http://www.accupass.com/go/tpfersonal0225","【原來買衣服，可以交給她來做？】","2016-02-25(Thu) 20:00 ~ 2016-03-31(Thu) 23:45 (GMT+8)","台北市信義區忠孝東路5段508-8號1樓","Education"
"http://www.accupass.com/go/ab3","3月新航來勢洶洶?想跟上嗎?【空姐面試必備致勝書籍】入航就要會說航話 (劉平空姐學園出版)","","",""
"http://www.accupass.com/go/ab3","【2016航空就業說明會-購書就讓你""免費""參加】","2016-02-22(Mon) 08:00 ~ 2016-03-31(Thu) 23:59 (GMT+8)","台北市中正區","Travel"
"http://www.accupass.com/go/fuegotango0228","Fuego 莫凡彼｜阿根廷探戈晚宴 (Feb. 28, 2016)","","",""
"http://www.accupass.com/go/fuegotango0228","MEET NEW FRIENDS IN FABULOUS PLACE!; 活動流程; --- --- --- --- --- --- --- --- --- ---; --- --- --- --- --- --- --- --- --- ---; 名額有限，心動就馬上報名！","2016-02-28(Sun) 19:00 ~ 2016-02-28(Sun) 21:30 (GMT+8)","台北市內湖區敬業三路11-1號2樓","Entertainment"
"http://www.accupass.com/go/taipei221","LFP: 個人化香水調香工作坊（2016 二月份2/21台北)","2016-02-21(Sun) 14:00 ~ 2016-02-21(Sun) 16:30 (GMT+8)","110台北市信義區菸廠路88號六樓","Fashion"
"http://www.accupass.com/event/register/1601190743051379786280","自信講堂【會說故事，賺比較多】新版","2016-02-24(Wed) 19:00 ~ 2016-02-24(Wed) 21:30 (GMT+8)","台北市復興北路99號6樓 D教室","Education"
"http://www.accupass.com/event/register/1601120903481737300100","小小星戰開打!","2016-02-21(Sun) 10:00 ~ 2016-02-21(Sun) 18:00 (GMT+8)","台北市民生東路四段133號科服大樓14樓 關懷廳","Technology"
"http://www.accupass.com/event/register/1601250531338564165010","不藏私、超好用，手機APP修圖、剪輯影片技巧分享","2016-02-23(Tue) 18:30 ~ 2016-02-23(Tue) 21:30 (GMT+8)","台北市和平西路一段150號12樓(近古亭捷運站9號出口)","Education"
"http://www.accupass.com/event/register/1601210905391448244397","2016【拯救天賦14堂課 】台北週日班-天賦探索X自我療癒X行動實作，一次到位","","",""
"http://www.accupass.com/event/register/1601210905391448244397","","2016-02-21(Sun) 14:00 ~ 2016-06-26(Sun) 17:00 (GMT+8)","台北市大同區民族西路33號","Education"
"http://www.accupass.com/event/register/1602220747044494789810","Internet+：創新創業與轉型重生 系列論壇","2016-02-26(Fri) 14:00 ~ 2016-02-26(Fri) 17:30 (GMT+8)","106台北市大安區羅斯福路四段1號","Education"
"http://www.accupass.com/go/2016hsu02","重仁塾@Cheers-創造商機(2月):故事X行銷","","",""
