"url","Title","Time","Location","Category"
"https://www.accupass.com/event/register/1606221601117563263460","築夢瓦舍-您對未來迷惘嗎？想改變卻不知如何做？","2016-07-02(Sat) 19:00 ~ 2016-07-02(Sat) 20:30 (GMT+8)","台北市","Business"
"https://www.accupass.com/event/register/1606300015341456569209","（7/5 台北_大師講座系列）林志誠老師 價值創新、優勢再造！","2016-07-05(Tue) 19:00 ~ 2016-07-05(Tue) 21:00 (GMT+8)","台北市八德路四段760號7樓之2","Business"
"https://www.accupass.com/event/register/1605110939351623632592","贏家K線","2016-07-04(Mon) 19:00 ~ 2016-07-11(Mon) 21:30 (GMT+8)","http://www.moneyedu.org.tw/Web/Course/Detail.aspx?ID=635&WebSiteID=0; http://event.moneyweekly.com.tw/Web/event/Moneyedu/20131219/","Education"
"https://www.accupass.com/event/register/1607031008129533581820","2016減脂夏令營","","",""
"https://www.accupass.com/event/register/1607031008129533581820","我們是國內第一家 重視『徒手運動』的俱樂部","2016-07-08(Fri) 13:00 ~ 2016-07-08(Fri) 15:00 (GMT+8)","台北市松山區敦化南路一段1號6樓B座","Sports"
"https://www.accupass.com/event/register/1606230319291693583436","【生命數字】震撼體驗（了解潛在性格與發展方向）","","",""
"https://www.accupass.com/event/register/1606230319291693583436","這是我的部落格，歡迎交流","2016-07-03(Sun) 10:00 ~ 2016-07-03(Sun) 17:00 (GMT+8)","中正紀念堂二號出口","Education"
"https://www.accupass.com/event/register/1606230305491299567506","90 DAY TRAINING-綜合肌力訓練","","",""
"https://www.accupass.com/event/register/1606230305491299567506","常見的Q&A; 我們的課程","2016-07-06(Wed) 09:00 ~ 2016-07-06(Wed) 12:00 (GMT+8)","台北市松山區敦化南路一段1號6樓B座","Sports"
"https://www.accupass.com/event/register/1606300554081340880740","【蠻野講堂】有核不可，台電沒有告訴你的事！","2016-07-04(Mon) 19:00 ~ 2016-07-04(Mon) 21:00 (GMT+8)","台北市中正區衡陽路9號; http://zh.wildatheart.org.tw/story/882/7936","Arts"
"https://www.accupass.com/event/register/1607050932449957447770","<跟小男孩拍照拿大獎> 台中必遊!!!草悟道超夯景點, 千載難逢免費拿大獎機會等您來~~","2016-07-05(Tue) 17:30 ~ 2016-07-31(Sun) 00:00 (GMT+8)","台中市西區中興街123號; Poetry & Iris 詩品典藏銀飾 粉絲團","Photography"
"https://www.accupass.com/event/register/1606270239031947537095","60 day-夏日體態雕塑計畫","2016-07-02(Sat) 18:00 ~ 2016-07-02(Sat) 21:00 (GMT+8)","台北市松山區敦化南路一段1號6樓B座","Health"
"http://www.accupass.com/go/cmiea_math","雙語國際數理資優夏令營","2016-07-04(Mon) 08:30 ~ 2016-07-08(Fri) 17:00 (GMT+8)","臺中市后里區廣福村內東路廣利巷1-11號; 社團法人中華多元智能教育協會","Education"
