"url","Title","Time","Location","Category"
"http://www.accupass.com/go/ntpchappysummer","「歡樂遊一夏」105年新北觀光工廠歡樂夏日遊","2016-07-14(Thu) 09:00 ~ 2016-08-26(Fri) 17:00 (GMT+8)","新北市板橋區縣民大道二段7號 (板橋車站北二門)","Travel"
"http://www.accupass.com/go/ctlearnsoundman","《異響天開—數位音響系統研習課程》","2016-07-16(Sat) 09:00 ~ 2016-07-23(Sat) 16:00 (GMT+8)","台北信基大樓7F（110台北市信義區信義路四段466號）","Education"
"http://www.accupass.com/event/register/1606170548091563123968","2016 全球經濟趨勢論壇 - 陶冬 x 苑舉正","2016-07-14(Thu) 13:30 ~ 2016-07-14(Thu) 17:00 (GMT+8)","台北市羅斯福路四段85號B1","Business"
"http://www.accupass.com/event/register/1607110437345506386180","重仁塾@Cheers_12/8(四)雲門舞集創辦人 林懷民","2016-07-21(Thu) 18:30 ~ 2016-12-08(Thu) 21:00 (GMT+8)","台北誠品松菸表演廳(台北市信義區菸廠路88號B2); 重仁塾@Cheers_主題介紹","Education"
"http://www.accupass.com/event/register/1605310936091444519213","2016/07/23(六)夏祭浪漫浴衣派對","2016-07-23(Sat) 15:00 ~ 2016-07-23(Sat) 18:00 (GMT+8)","台北市萬華區昆明街316號B1 大可樂; Doyobi TALK粉絲團","Entertainment"
"http://www.accupass.com/event/register/1606160306049128342350","Creative Baby 2016【親子幼兒健身房】全台公益巡迴賽-高雄環球新左營店","2016-07-23(Sat) 13:30 ~ 2016-07-24(Sun) 18:00 (GMT+8)","環球購物中心新左營店 (高雄市左營區站前北路1號4F)","Charity"
"http://www.accupass.com/go/youthsummit","新北青年高峰會｜0713競爭力論壇","2016-07-13(Wed) 09:40 ~ 2016-07-13(Wed) 17:30 (GMT+8)","新北市板橋區中山路一段161號6樓; 新北青年高峰會活動官網","Education"
"http://www.accupass.com/go/touwu","苗栗頭屋 漫慢生活節 X 湖光三色野餐會 2016/7/23 野餐籃限量預購中!","2016-07-23(Sat) 15:00 ~ 2016-08-15(Mon) 17:30 (GMT+8)","苗栗縣頭屋鄉日新島; 【水漾苗栗．樂活頭屋】FACEBOOK 粉絲專頁","Travel"
"http://www.accupass.com/go/traveltaoyuan2016","2016桃園北橫旅遊節-山野探險王","2016-07-16(Sat) 10:00 ~ 2016-07-31(Sun) 22:00 (GMT+8)","★ 後慈湖夜間生態觀察：後慈湖園區[桃園市大溪區復興路一段1097號]； ★ 宇內溪溯溪體驗：小烏來風景特定區牌樓旁小路[桃園市復興區義盛村]；★ 部落獵人學校體驗：Lahuy 聚集之門 [小烏來溪內派出所旁]；★ 山訓探索體驗：救國團霞雲探索教育基地[桃園縣復興鄉澤仁村中山路一號]；★ 北橫賞星星：第一、三梯次為上巴陵停車場[桃116線巴陵道路經巴陵派出所後，前行500公尺即為上巴陵停車場]/第二、四、五梯次為達觀渡假農場民宿[桃園市復興區上巴陵神木路189號]","Travel"
"http://www.accupass.com/go/IDEAS_Show2016","2016 IDEAS Show @ APEC","2016-07-20(Wed) 09:00 ~ 2016-07-21(Thu) 18:00 (GMT+8)","台北市信義區信義路五段1號; IDEAS Show網站","Technology"
"http://www.accupass.com/go/typolicyjam","2016桃園創業政策黑客松：用樂高打造創意城市！","2016-07-30(Sat) 10:00 ~ 2016-07-31(Sun) 18:00 (GMT+8)","桃園市中壢區環北路390號3樓","Charity"
"http://www.accupass.com/go/wftp071","【7月14日第070場主題例會】“從面板到麵粉”談跨界與創新 | 天來創新生活董事長 陳來助","2016-07-14(Thu) 19:00 ~ 2016-07-14(Thu) 21:30 (GMT+8)","台北市中正區市民大道三段2號11F; WorkFaceTaipei粉絲專頁","Business"
"http://www.accupass.com/event/register/1607070930291701660657","【響應 629世界工業設計日系列活動 】Assemble x 行動聚集","2016-07-12(Tue) 10:30 ~ 2016-07-12(Tue) 12:00 (GMT+8)","臺北市中山區中山北路三段181號","Arts"
"http://www.accupass.com/go/touchandtime10","【MED#161 時光保物特展】10月份教育推廣活動","2016-07-30(Sat) 10:00 ~ 2016-10-23(Sun) 18:00 (GMT+8)","新北市新北市板橋區漢生東路166號3樓; 新板藝廊臉書","Arts"
"http://www.accupass.com/go/au49","生活沙龍 | 伊日美學生活 黃禹銘總經理「美好生活的實踐 」","2016-07-13(Wed) 19:00 ~ 2016-07-13(Wed) 21:00 (GMT+8)","艾波學院 | 台中市西屯區惠中路二段59號1F（開務建築1樓）","Education"
"http://www.accupass.com/event/register/1512100621418099683500","【BLACKROLL®國際認證】7/30筋膜滾筒訓練師認證課程","2016-07-30(Sat) 09:00 ~ 2016-07-30(Sat) 18:00 (GMT+8)","台北市大安區延吉街239號2樓","Sports"
"http://www.accupass.com/go/0to1_3","從0到1 台灣軟體創新如何邁向國際市場","2016-07-19(Tue) 19:00 ~ 2016-07-19(Tue) 22:00 (GMT+8)","台北市大同區民權西路104號10樓之1; 關於創業這檔事","Education"
"http://www.accupass.com/go/touchandtime8","【MED#161 時光保物特展】8月份教育推廣活動","2016-07-30(Sat) 10:00 ~ 2016-08-31(Wed) 18:00 (GMT+8)","新北市新北市板橋區漢生東路166號3樓; 新板藝廊臉書","Arts"
"http://www.accupass.com/go/outdoorcamping","來去森林住一晚！(攀岩、走溪、藍染)","2016-07-28(Thu) 09:00 ~ 2016-07-29(Fri) 16:00 (GMT+8)","新北市三峽區有木里131號","Travel"
"http://www.accupass.com/event/register/1606261141494251721220","BFAnniversary 壹簡如故｜簡報小聚壹週年慶","2016-07-16(Sat) 19:00 ~ 2016-07-16(Sat) 22:00 (GMT+8)","YourSpace","Education"
"http://www.accupass.com/go/plusartsjuly","【+arts 藝域之外】仲夏慢活","2016-07-22(Fri) 18:30 ~ 2016-07-22(Fri) 22:00 (GMT+8)","台北市大安區建國南路一段177號; +arts藝域之外","Arts"
"http://www.accupass.com/go/monstertalk04","怪獸夜談 No.04 活到老練到老-談終身訓練法","2016-07-22(Fri) 19:00 ~ 2016-07-22(Fri) 21:30 (GMT+8)","台北市中正區汀州路三段160巷底; 怪獸訓練官網","Health"
"http://www.accupass.com/event/register/1603310617021936279754","A101 職場大人學：職場人際關係與優勢策略 台北場","2016-07-23(Sat) 09:30 ~ 2016-07-24(Sun) 17:30 (GMT+8)","台北市復興北路154號9樓【大人學台北教室】; 課程介紹","Education"
"http://www.accupass.com/event/register/1606210641111832904394","身為創業人你必須要知道的事（7/15 台北場）","2016-07-15(Fri) 13:30 ~ 2016-07-15(Fri) 17:40 (GMT+8)","台北市羅斯福路4段85號B1","Other"
"http://www.accupass.com/go/touchandtimese","【MED#161 時光保物特展】2016新北市兒藝節期間特別活動","2016-07-30(Sat) 10:00 ~ 2016-08-07(Sun) 18:00 (GMT+8)","220新北市新北市板橋區漢生東路114巷21; 新板藝廊臉書","Arts"
"http://www.accupass.com/go/2016motorcycleshow","2016 Motorcycle Show 重型機車展覽會","2016-07-22(Fri) 10:00 ~ 2016-07-24(Sun) 18:00 (GMT+8)","新北市工商展覽中心; 官方臉書活動","Sports"
"http://www.accupass.com/go/illuClassAndy5","illuClass｜一起來做動畫!","2016-07-16(Sat) 14:00 ~ 2016-07-16(Sat) 15:30 (GMT+8)","台北市萬華區康定路43號2樓; 插畫人基地FB","Education"
"http://www.accupass.com/event/register/1607211541331387876798","喬伊老師孕期瑜珈教室","2016-07-25(Mon) 19:30 ~ 2016-09-27(Tue) 20:45 (GMT+8)","新北市板橋區中山路一段158巷31號","Sports"
"http://www.accupass.com/event/register/1606282139161914608193","【更改至漁人碼頭】7/30 Singles Yacht Party 社會菁英單身遊艇派對 (15男:15女)","2016-07-30(Sat) 18:00 ~ 2016-07-30(Sat) 21:00 (GMT+8)","淡水漁人碼頭","Entertainment"
"http://www.accupass.com/go/cf_tp2016","[攤位報名]CosplayField角色扮演交流市集－2016台北場","2016-07-30(Sat) 09:30 ~ 2016-07-30(Sat) 16:00 (GMT+8)","台北市中山區林森北路107巷10號; 網址連結","Entertainment"
"http://www.accupass.com/event/register/1607231225151202125372","LISA手工婚紗特賣會","2016-07-23(Sat) 13:00 ~ 2016-07-31(Sun) 22:00 (GMT+8)","台北市松江路10號; https://www.facebook.com/events/1725919304338034/","Entertainment"
"http://www.accupass.com/event/register/1606280207416228716860","為你而讀47會：愛為何會傷人Ｘ顛覆視界Ｘ心理師的眼睛","2016-07-24(Sun) 14:00 ~ 2016-07-24(Sun) 17:30 (GMT+8)","台北市大安區敦化南路一段184號11樓","Education"
"http://www.accupass.com/go/selocalcreate","《社企經理人》12－讓在地經營成為改變社會的方式－甘樂文創｜林峻丞創辦人、走走池上｜羅正傑創辦人","2016-07-16(Sat) 09:00 ~ 2016-07-16(Sat) 18:00 (GMT+8)","新北市板橋區萬板路143號; 社企學會官網","Education"
"http://www.accupass.com/go/iotcourse_2016","HackNTU IoT Courses 物聯網創作系列實作課程","2016-07-13(Wed) 19:00 ~ 2016-07-29(Fri) 21:30 (GMT+8)","台北市大安區羅斯福路四段1號","Technology"
"http://www.accupass.com/go/haikuangcamp2016","被遮蔽的光-當代難民的人權狀況研究營","2016-07-18(Mon) 09:20 ~ 2016-07-20(Wed) 15:00 (GMT+8)","231新北市新店區復興路131號; 海光人文書院","Arts"
"http://www.accupass.com/go/summer_academy","麻省理工程式教育系統，矽谷夏日程式學院首次來台開暑期課程！","2016-07-18(Mon) 09:00 ~ 2016-08-12(Fri) 18:00 (GMT+8)","太平洋商業大樓5樓 (106台北市大安區忠孝東路4段285號5樓); Make School","Technology"
"http://www.accupass.com/go/illuClassAboo6","illuClass｜插畫接案實務—電繪進階班","2016-07-10(Sun) 13:00 ~ 2016-07-10(Sun) 15:00 (GMT+8)","台北市萬華區康定路43號2樓; 插畫人基地FB","Education"
"http://www.accupass.com/go/cxlibhackathon","2016超星圖書館黑客松","2016-07-22(Fri) 18:00 ~ 2016-07-24(Sun) 18:00 (GMT+8)","台北市文山區木柵路一段十七巷一號; 超星圖書館黑客松粉絲團","Technology"
"http://www.accupass.com/event/register/1607191033578241497500","2016部落旅行-踏訪原鄉希利克","2016-07-30(Sat) 07:00 ~ 2016-07-31(Sun) 17:00 (GMT+8)","台中市西屯區朝富路１６號","Travel"
"http://www.accupass.com/go/iling","【免費彩妝課程】iling彩妝造型學院（七月份課程）","2016-07-23(Sat) 10:00 ~ 2016-07-24(Sun) 17:00 (GMT+8)","台北市大安區復興南路二段78巷74號三樓之一; iling形象妝造型官方網站","Fashion"
"http://www.accupass.com/event/register/1605130505201868407926","別總是直球對決：人生難題的系統思考法","2016-07-22(Fri) 18:30 ~ 2016-07-22(Fri) 21:00 (GMT+8)","台北市復興北路154號9樓【大人學台北教室】","Education"
"http://www.accupass.com/event/register/1606232218051477258448","演講：做個有「溫度」的人","2016-07-20(Wed) 19:30 ~ 2016-07-20(Wed) 21:30 (GMT+8)","台北市八德路四段123號3樓","Education"
"http://www.accupass.com/go/bigtimes20","心理聚聚 –《啟動心靈的對話》實作工作坊","2016-07-23(Sat) 14:00 ~ 2016-07-23(Sat) 16:00 (GMT+8)","台北市和平西路三段240號2樓; 客服專線 (02)2306-6600#8244","Arts"
"http://www.accupass.com/event/register/1607010730216152642600","7/23 賴宇凡「慢卡路里讓你瘦-當一個什麼都能吃的瘦子」好評再加場！","2016-07-23(Sat) 19:30 ~ 2016-07-23(Sat) 21:30 (GMT+8)","台北市信義區菸廠路88號B2","Health"
"http://www.accupass.com/event/register/1606140253061496881927","2016 Graser User Conference 跨界整合 翻轉設計","2016-07-14(Thu) 08:40 ~ 2016-07-14(Thu) 16:30 (GMT+8)","台北市中山區樂群二路199號 (台北 萬豪酒店); 網址連結","Education"
"http://www.accupass.com/go/0800080","0814中壢免費""愛在雲端~親子baby boss體驗營""","2016-07-25(Mon) 18:28 ~ 2016-08-14(Sun) 17:00 (GMT+8)","桃園市中壢區中山東路三段414號; 2016暑期不可錯過0元歡樂活動還有百款玩偶一起同樂喔!!","Food"
"http://www.accupass.com/event/register/1606090417211236501364","2016海峽兩岸青年創客大賽","2016-07-28(Thu) 09:00 ~ 2016-08-01(Mon) 18:00 (GMT+8)","上海市楊浦區阜新路281號同濟大學憤怒小鳥廣場; https://www.facebook.com/events/1042596155816932/","Technology"
"http://www.accupass.com/go/2555","【桌遊X領導力】如何玩出領導智慧(NPO專屬課程)-台中","2016-07-29(Fri) 09:30 ~ 2016-07-30(Sat) 17:30 (GMT+8)","台中市東區雙十路一段4-33號","Education"
"http://www.accupass.com/event/register/1607010915431635010871","COPUS盛夏享畫‧視覺圖像記錄","2016-07-30(Sat) 09:30 ~ 2016-07-30(Sat) 17:30 (GMT+8)","台中市中區民族路92號7樓","Education"
"http://www.accupass.com/event/register/1607190745302037628419","人資 廣宣文案力 實作營(台灣人資研習塾)","2016-07-30(Sat) 09:00 ~ 2016-08-13(Sat) 17:00 (GMT+8)","台北市中正區林森南路142號B1","Education"
